Source,Target,Type
legendary,svtc,Undirected
pa,yung,Undirected
amp,casino,Undirected
amp,featured,Undirected
amp,creative,Undirected
casino,featured,Undirected
casino,creative,Undirected
featured,creative,Undirected
video,live,Undirected
amp,gold,Undirected
amp,clean,Undirected
amp,classic,Undirected
amp,black,Undirected
gold,clean,Undirected
gold,classic,Undirected
gold,black,Undirected
clean,classic,Undirected
clean,black,Undirected
classic,black,Undirected
u,ready,Undirected
auction,time,Undirected
vision,hybrid,Undirected
old,black,Undirected
live,lucky,Undirected
good,last,Undirected
good,much,Undirected
last,much,Undirected
new,new,Undirected
patriotic,black,Undirected
new,new,Undirected
vision,hybrid,Undirected
life,happy,Undirected
u,ready,Undirected
auction,time,Undirected
time,high,Undirected
time,new,Undirected
high,new,Undirected
mustang,good,Undirected
mustang,old,Undirected
mustang,american,Undirected
good,old,Undirected
good,american,Undirected
old,american,Undirected
last,least,Undirected
el,el,Undirected
pa,yung,Undirected
report,next,Undirected
time,high,Undirected
time,new,Undirected
high,new,Undirected
vision,hybrid,Undirected
new,key,Undirected
others,thing,Undirected
others,classic,Undirected
others,pretty,Undirected
others,sharp,Undirected
others,sexy,Undirected
thing,classic,Undirected
thing,pretty,Undirected
thing,sharp,Undirected
thing,sexy,Undirected
classic,pretty,Undirected
classic,sharp,Undirected
classic,sexy,Undirected
pretty,sharp,Undirected
pretty,sexy,Undirected
sharp,sexy,Undirected
beautiful,red,Undirected
beautiful,black,Undirected
beautiful,american,Undirected
beautiful,musclecar,Undirected
beautiful,fast,Undirected
red,black,Undirected
red,american,Undirected
red,musclecar,Undirected
red,fast,Undirected
black,american,Undirected
black,musclecar,Undirected
black,fast,Undirected
american,musclecar,Undirected
american,fast,Undirected
musclecar,fast,Undirected
favorite,good,Undirected
mustanggt,gt500,Undirected
car,fond,Undirected
history,powerful,Undirected
history,right,Undirected
powerful,right,Undirected
ad,low,Undirected
cool,next,Undirected
cool,cool,Undirected
next,cool,Undirected
sec,sec,Undirected
sec,120km,Undirected
sec,120km,Undirected
amp,clean,Undirected
vision,hybrid,Undirected
amp,casino,Undirected
amp,featured,Undirected
amp,creative,Undirected
casino,featured,Undirected
casino,creative,Undirected
featured,creative,Undirected
u,new,Undirected
cool,next,Undirected
cool,cool,Undirected
next,cool,Undirected
front,available,Undirected
crash,southeast,Undirected
real,first,Undirected
convertible,top,Undirected
people,black,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
u,fun,Undirected
u,new,Undirected
fun,new,Undirected
original,beautiful,Undirected
history,powerful,Undirected
history,able,Undirected
history,ow,Undirected
powerful,able,Undirected
powerful,ow,Undirected
able,ow,Undirected
musclecar,great,Undirected
vision,hybrid,Undirected
vision,hybrid,Undirected
new,good,Undirected
sharp,fast,Undirected
amp,gold,Undirected
amp,clean,Undirected
amp,classic,Undirected
amp,black,Undirected
gold,clean,Undirected
gold,classic,Undirected
gold,black,Undirected
clean,classic,Undirected
clean,black,Undirected
classic,black,Undirected
people,black,Undirected
vision,hybrid,Undirected
long,new,Undirected
convertible,mustanggt,Undirected
fast,good,Undirected
pa,yung,Undirected
pa,yung,Undirected
supercharged,low,Undirected
vision,hybrid,Undirected
new,new,Undirected
new,roadshow,Undirected
new,roadshow,Undirected
gt,first,Undirected
gt,long,Undirected
gt,electric,Undirected
first,long,Undirected
first,electric,Undirected
long,electric,Undirected
video,high,Undirected
video,full,Undirected
high,full,Undirected
stunning,rear,Undirected
gt500,musclecar,Undirected
live,lucky,Undirected
electric,electric,Undirected
cool,cool,Undirected
ready,low,Undirected
everything,fond,Undirected
supercharged,brembo,Undirected
amp,full,Undirected
pa,yung,Undirected
others,thing,Undirected
others,classic,Undirected
others,pretty,Undirected
others,sharp,Undirected
others,sexy,Undirected
thing,classic,Undirected
thing,pretty,Undirected
thing,sharp,Undirected
thing,sexy,Undirected
classic,pretty,Undirected
classic,sharp,Undirected
classic,sexy,Undirected
pretty,sharp,Undirected
pretty,sexy,Undirected
sharp,sexy,Undirected
classic,top,Undirected
everything,electric,Undirected
amp,casino,Undirected
amp,featured,Undirected
amp,creative,Undirected
casino,featured,Undirected
casino,creative,Undirected
featured,creative,Undirected
el,que,Undirected
happy,great,Undirected
sec,120km,Undirected
pa,yung,Undirected
much,big,Undirected
crash,police,Undirected
crash,southeast,Undirected
police,southeast,Undirected
amp,handsome,Undirected
amp,legendary,Undirected
amp,svtc,Undirected
handsome,legendary,Undirected
handsome,svtc,Undirected
legendary,svtc,Undirected
beautiful,red,Undirected
beautiful,black,Undirected
